Site Name ,INDOOR
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,2488


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,15/11/2017 , 17:15:00,37,37
2,15/11/2017 , 17:30:00,21,21
3,15/11/2017 , 17:45:00,10,10
4,15/11/2017 , 18:00:00,3,3
5,15/11/2017 , 18:15:00,0,0
6,15/11/2017 , 18:30:00,0,0
7,15/11/2017 , 18:45:00,0,0
8,15/11/2017 , 19:00:00,0,0
9,15/11/2017 , 19:15:00,0,0
10,15/11/2017 , 19:30:00,0,0
11,15/11/2017 , 19:45:00,0,0
12,15/11/2017 , 20:00:00,0,0
13,15/11/2017 , 20:15:00,0,0
14,15/11/2017 , 20:30:00,0,0
15,15/11/2017 , 20:45:00,0,0
16,15/11/2017 , 21:00:00,0,0
17,15/11/2017 , 21:15:00,0,0
18,15/11/2017 , 21:30:00,0,0
19,15/11/2017 , 21:45:00,0,0
20,15/11/2017 , 22:00:00,0,0
21,15/11/2017 , 22:15:00,0,0
22,15/11/2017 , 22:30:00,0,0
23,15/11/2017 , 22:45:00,0,0
24,15/11/2017 , 23:00:00,0,0
25,15/11/2017 , 23:15:00,0,0
26,15/11/2017 , 23:30:00,0,0
27,15/11/2017 , 23:45:00,0,0
28,15/11/2017 , 24:00:00,0,0
29,16/11/2017 , 00:15:00,0,0
30,16/11/2017 , 00:30:00,0,0
31,16/11/2017 , 00:45:00,0,0
32,16/11/2017 , 01:00:00,0,0
33,16/11/2017 , 01:15:00,0,0
34,16/11/2017 , 01:30:00,0,0
35,16/11/2017 , 01:45:00,0,0
36,16/11/2017 , 02:00:00,0,0
37,16/11/2017 , 02:15:00,0,0
38,16/11/2017 , 02:30:00,0,0
39,16/11/2017 , 02:45:00,0,0
40,16/11/2017 , 03:00:00,0,0
41,16/11/2017 , 03:15:00,0,0
42,16/11/2017 , 03:30:00,0,0
43,16/11/2017 , 03:45:00,0,0
44,16/11/2017 , 04:00:00,0,0
45,16/11/2017 , 04:15:00,0,0
46,16/11/2017 , 04:30:00,0,0
47,16/11/2017 , 04:45:00,0,0
48,16/11/2017 , 05:00:00,0,0
49,16/11/2017 , 05:15:00,0,0
50,16/11/2017 , 05:30:00,0,0
51,16/11/2017 , 05:45:00,0,0
52,16/11/2017 , 06:00:00,0,0
53,16/11/2017 , 06:15:00,0,0
54,16/11/2017 , 06:30:00,0,0
55,16/11/2017 , 06:45:00,2,2
56,16/11/2017 , 07:00:00,14,14
57,16/11/2017 , 07:15:00,33,33
58,16/11/2017 , 07:30:00,60,60
59,16/11/2017 , 07:45:00,99,99
60,16/11/2017 , 08:00:00,151,151
61,16/11/2017 , 08:15:00,89,89
62,16/11/2017 , 08:30:00,135,135
63,16/11/2017 , 08:45:00,202,202
64,16/11/2017 , 09:00:00,201,201
65,16/11/2017 , 09:15:00,285,285
66,16/11/2017 , 09:30:00,375,375
67,16/11/2017 , 09:45:00,322,322
68,16/11/2017 , 10:00:00,431,431
69,16/11/2017 , 10:15:00,495,495
70,16/11/2017 , 10:30:00,411,411
71,16/11/2017 , 10:45:00,601,601
72,16/11/2017 , 11:00:00,652,652
73,16/11/2017 , 11:15:00,726,726
74,16/11/2017 , 11:30:00,866,866
75,16/11/2017 , 11:45:00,918,918
76,16/11/2017 , 12:00:00,726,726
77,16/11/2017 , 12:15:00,732,732
78,16/11/2017 , 12:30:00,685,685
79,16/11/2017 , 12:45:00,848,848
80,16/11/2017 , 13:00:00,769,769
81,16/11/2017 , 13:15:00,607,607
82,16/11/2017 , 13:30:00,651,651
83,16/11/2017 , 13:45:00,431,431
84,16/11/2017 , 14:00:00,387,387
85,16/11/2017 , 14:15:00,398,398
86,16/11/2017 , 14:30:00,374,374
87,16/11/2017 , 14:45:00,506,506
88,16/11/2017 , 15:00:00,444,444
89,16/11/2017 , 15:15:00,329,329
90,16/11/2017 , 15:30:00,233,233
91,16/11/2017 , 15:45:00,201,201
92,16/11/2017 , 16:00:00,200,200
93,16/11/2017 , 16:15:00,187,187
94,16/11/2017 , 16:30:00,90,90
95,16/11/2017 , 16:45:00,77,77
96,16/11/2017 , 17:00:00,65,65
97,16/11/2017 , 17:15:00,37,37
98,16/11/2017 , 17:30:00,32,32
99,16/11/2017 , 17:45:00,13,13
100,16/11/2017 , 18:00:00,3,3
101,16/11/2017 , 18:15:00,0,0
102,16/11/2017 , 18:30:00,0,0
103,16/11/2017 , 18:45:00,0,0
104,16/11/2017 , 19:00:00,0,0
105,16/11/2017 , 19:15:00,0,0
106,16/11/2017 , 19:30:00,0,0
107,16/11/2017 , 19:45:00,0,0
108,16/11/2017 , 20:00:00,0,0
109,16/11/2017 , 20:15:00,0,0
110,16/11/2017 , 20:30:00,0,0
111,16/11/2017 , 20:45:00,0,0
112,16/11/2017 , 21:00:00,0,0
