Site Name ,INDOOR
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,2488


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,01/11/2017 , 17:15:00,66,66
2,01/11/2017 , 17:30:00,42,42
3,01/11/2017 , 17:45:00,18,18
4,01/11/2017 , 18:00:00,4,4
5,01/11/2017 , 18:15:00,0,0
6,01/11/2017 , 18:30:00,0,0
7,01/11/2017 , 18:45:00,0,0
8,01/11/2017 , 19:00:00,0,0
9,01/11/2017 , 19:15:00,0,0
10,01/11/2017 , 19:30:00,0,0
11,01/11/2017 , 19:45:00,0,0
12,01/11/2017 , 20:00:00,0,0
13,01/11/2017 , 20:15:00,0,0
14,01/11/2017 , 20:30:00,0,0
15,01/11/2017 , 20:45:00,0,0
16,01/11/2017 , 21:00:00,0,0
17,01/11/2017 , 21:15:00,0,0
18,01/11/2017 , 21:30:00,0,0
19,01/11/2017 , 21:45:00,0,0
20,01/11/2017 , 22:00:00,0,0
21,01/11/2017 , 22:15:00,0,0
22,01/11/2017 , 22:30:00,0,0
23,01/11/2017 , 22:45:00,0,0
24,01/11/2017 , 23:00:00,0,0
25,01/11/2017 , 23:15:00,0,0
26,01/11/2017 , 23:30:00,0,0
27,01/11/2017 , 23:45:00,0,0
28,01/11/2017 , 24:00:00,0,0
29,02/11/2017 , 00:15:00,0,0
30,02/11/2017 , 00:30:00,0,0
31,02/11/2017 , 00:45:00,0,0
32,02/11/2017 , 01:00:00,0,0
33,02/11/2017 , 01:15:00,0,0
34,02/11/2017 , 01:30:00,0,0
35,02/11/2017 , 01:45:00,0,0
36,02/11/2017 , 02:00:00,0,0
37,02/11/2017 , 02:15:00,0,0
38,02/11/2017 , 02:30:00,0,0
39,02/11/2017 , 02:45:00,0,0
40,02/11/2017 , 03:00:00,0,0
41,02/11/2017 , 03:15:00,0,0
42,02/11/2017 , 03:30:00,0,0
43,02/11/2017 , 03:45:00,0,0
44,02/11/2017 , 04:00:00,0,0
45,02/11/2017 , 04:15:00,0,0
46,02/11/2017 , 04:30:00,0,0
47,02/11/2017 , 04:45:00,0,0
48,02/11/2017 , 05:00:00,0,0
49,02/11/2017 , 05:15:00,0,0
50,02/11/2017 , 05:30:00,0,0
51,02/11/2017 , 05:45:00,0,0
52,02/11/2017 , 06:00:00,0,0
53,02/11/2017 , 06:15:00,0,0
54,02/11/2017 , 06:30:00,0,0
55,02/11/2017 , 06:45:00,6,6
56,02/11/2017 , 07:00:00,19,19
57,02/11/2017 , 07:15:00,36,36
58,02/11/2017 , 07:30:00,54,54
59,02/11/2017 , 07:45:00,81,81
60,02/11/2017 , 08:00:00,111,111
61,02/11/2017 , 08:15:00,153,153
62,02/11/2017 , 08:30:00,164,164
63,02/11/2017 , 08:45:00,242,242
64,02/11/2017 , 09:00:00,328,328
65,02/11/2017 , 09:15:00,274,274
66,02/11/2017 , 09:30:00,281,281
67,02/11/2017 , 09:45:00,406,406
68,02/11/2017 , 10:00:00,665,665
69,02/11/2017 , 10:15:00,838,838
70,02/11/2017 , 10:30:00,764,764
71,02/11/2017 , 10:45:00,872,872
72,02/11/2017 , 11:00:00,892,892
73,02/11/2017 , 11:15:00,987,987
74,02/11/2017 , 11:30:00,1060,1060
75,02/11/2017 , 11:45:00,1128,1128
76,02/11/2017 , 12:00:00,1038,1038
77,02/11/2017 , 12:15:00,1106,1106
78,02/11/2017 , 12:30:00,1156,1156
79,02/11/2017 , 12:45:00,1040,1040
80,02/11/2017 , 13:00:00,1078,1078
81,02/11/2017 , 13:15:00,1083,1083
82,02/11/2017 , 13:30:00,801,801
83,02/11/2017 , 13:45:00,789,789
84,02/11/2017 , 14:00:00,828,828
85,02/11/2017 , 14:15:00,770,770
86,02/11/2017 , 14:30:00,658,658
87,02/11/2017 , 14:45:00,604,604
88,02/11/2017 , 15:00:00,476,476
89,02/11/2017 , 15:15:00,421,421
90,02/11/2017 , 15:30:00,431,431
91,02/11/2017 , 15:45:00,335,335
92,02/11/2017 , 16:00:00,252,252
93,02/11/2017 , 16:15:00,213,213
94,02/11/2017 , 16:30:00,145,145
95,02/11/2017 , 16:45:00,102,102
96,02/11/2017 , 17:00:00,78,78
97,02/11/2017 , 17:15:00,59,59
98,02/11/2017 , 17:30:00,30,30
99,02/11/2017 , 17:45:00,13,13
100,02/11/2017 , 18:00:00,3,3
101,02/11/2017 , 18:15:00,0,0
102,02/11/2017 , 18:30:00,0,0
103,02/11/2017 , 18:45:00,0,0
104,02/11/2017 , 19:00:00,0,0
105,02/11/2017 , 19:15:00,0,0
106,02/11/2017 , 19:30:00,0,0
107,02/11/2017 , 19:45:00,0,0
108,02/11/2017 , 20:00:00,0,0
109,02/11/2017 , 20:15:00,0,0
110,02/11/2017 , 20:30:00,0,0
111,02/11/2017 , 20:45:00,0,0
